hhid,persid,dayType,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,wasted_time
Y24H6080317,Y24H6080317P03,Weekday,walking,13,0.97393,18.0,200.828258082,melb - inner,greater melbourne,5.0
Y24H6080336,Y24H6080336P02,Weekday,walking,20,1.51308,20.0,482.07457473,melb - inner,greater melbourne,0.0
Y24H6080336,Y24H6080336P03,Weekday,walking,20,1.51308,20.0,482.07457473,melb - inner,greater melbourne,0.0
Y24H6080403,Y24H6080403P03,Weekday,vehicle passenger,9,2.90403,9.0,1077.583768919,melb - outer,greater melbourne,0.0
Y24H6080437,Y24H6080437P03,Weekday,bicycle,10,1.01599,10.0,1381.424131961,melb - outer,greater melbourne,0.0
Y24H6080439,Y24H6080439P03,Weekday,vehicle passenger,26,10.85381,26.0,885.028251575,melb - outer,greater melbourne,0.0
Y24H6080439,Y24H6080439P04,Weekday,vehicle passenger,26,10.8543,26.0,856.545297897,melb - outer,greater melbourne,0.0
Y24H6080513,Y24H6080513P03,Weekend,vehicle passenger,10,2.6418,10.0,663.280837063,melb - middle,greater melbourne,0.0
Y24H6080513,Y24H6080513P04,Weekend,vehicle passenger,10,2.6418,10.0,663.280837063,melb - middle,greater melbourne,0.0
Y24H6080515,Y24H6080515P03,Weekday,vehicle passenger,15,1.9163,15.0,683.35723559,melb - middle,greater melbourne,0.0
Y24H6080515,Y24H6080515P04,Weekday,vehicle passenger,15,1.9163,15.0,1103.056408891,melb - middle,greater melbourne,0.0
Y24H6086102,Y24H6086102P03,Weekday,public bus,24,2.7691100000000004,42.0,228.720282074,other,shepparton sa4,18.0
Y24H6086102,Y24H6086102P04,Weekday,public bus,24,2.53215,42.0,228.1796987,other,shepparton sa4,18.0
Y24H6086105,Y24H6086105P03,Weekday,vehicle passenger,5,2.12837,5.0,210.504438473,other,shepparton sa4,0.0
Y24H6086105,Y24H6086105P04,Weekday,vehicle passenger,5,2.12837,5.0,407.496689706,other,shepparton sa4,0.0
Y24H6086125,Y24H6086125P03,Weekday,vehicle passenger,5,5.58587,5.0,929.594705821,other,shepparton sa4,0.0
Y24H6086125,Y24H6086125P04,Weekday,vehicle passenger,5,5.58596,5.0,927.397596592,other,shepparton sa4,0.0
Y24H6086139,Y24H6086139P03,Weekday,vehicle passenger,10,4.53258,10.0,267.874269981,other,shepparton sa4,0.0
Y24H6086139,Y24H6086139P04,Weekday,vehicle passenger,10,4.53258,10.0,267.241145645,other,shepparton sa4,0.0
Y24H6086139,Y24H6086139P05,Weekday,vehicle passenger,10,4.53258,10.0,478.045486729,other,shepparton sa4,0.0
Y24H6090204,Y24H6090204P03,Weekday,vehicle passenger,15,7.46607,15.0,559.70056317,melb - middle,greater melbourne,0.0
Y24H6090204,Y24H6090204P04,Weekday,vehicle passenger,12,5.62549,12.0,1226.828812877,melb - middle,greater melbourne,0.0
Y24H6090209,Y24H6090209P03,Weekday,vehicle passenger,5,0.8843,5.0,728.559013464,melb - middle,greater melbourne,0.0
Y24H6090225,Y24H6090225P03,Weekday,walking,20,1.07308,20.0,837.796127739,melb - middle,greater melbourne,0.0
Y24H6090225,Y24H6090225P04,Weekday,vehicle passenger,30,10.04854,30.0,575.170379402,melb - middle,greater melbourne,0.0
Y24H6090232,Y24H6090232P04,Weekday,walking,10,0.94974,10.0,1162.337338088,melb - middle,greater melbourne,0.0
Y24H6090237,Y24H6090237P02,Weekday,vehicle passenger,30,11.47008,30.0,1107.22116079,melb - middle,greater melbourne,0.0
Y24H6090309,Y24H6090309P03,Weekday,public bus,53,8.250259999999999,55.0,509.851530309,melb - inner,greater melbourne,2.0
Y24H6090317,Y24H6090317P02,Weekday,train,38,11.981460000000002,41.0,632.269546038,melb - inner,greater melbourne,3.0
Y24H6090324,Y24H6090324P03,Weekday,walking,15,0.87359,15.0,897.045812621,melb - inner,greater melbourne,0.0
Y24H6090409,Y24H6090409P03,Weekday,walking,15,0.85123,15.0,2220.917506726,melb - outer,greater melbourne,0.0
Y24H6096131,Y24H6096131P03,Weekday,other,20,2.62693,20.0,259.862093045,other,shepparton sa4,0.0
Y24H6110110,Y24H6110110P03,Weekday,vehicle driver,60,36.77245,60.0,1744.92694608,melb - outer,greater melbourne,0.0
Y24H6110236,Y24H6110236P01,Weekday,train,50,31.09485,60.0,2858.624267755,melb - outer,greater melbourne,10.0
Y24H6110324,Y24H6110324P04,Weekday,train,61,25.36276,65.0,475.270304429,melb - middle,greater melbourne,4.0
Y24H6120138,Y24H6120138P04,Weekday,train,71,45.96094,82.0,1964.053683605,melb - outer,greater melbourne,11.0
Y24H6120201,Y24H6120201P02,Weekday,public bus,52,6.066890000000001,70.0,203.649465616,melb - middle,greater melbourne,18.0
Y24H6120201,Y24H6120201P03,Weekday,public bus,52,6.06683,70.0,623.558261715,melb - middle,greater melbourne,18.0
Y24H6120202,Y24H6120202P03,Weekday,school bus,15,2.3073,20.0,831.767385001,melb - middle,greater melbourne,5.0
Y24H6120202,Y24H6120202P04,Weekday,vehicle passenger,3,1.08121,3.0,934.554841647,melb - middle,greater melbourne,0.0
Y24H6120211,Y24H6120211P03,Weekday,vehicle passenger,23,9.25815,23.0,588.697566228,melb - middle,greater melbourne,0.0
Y24H6120237,Y24H6120237P03,Weekday,vehicle passenger,13,5.61617,14.0,565.114546117,melb - middle,greater melbourne,1.0
Y24H6120237,Y24H6120237P04,Weekday,vehicle passenger,13,5.61617,14.0,591.969678951,melb - middle,greater melbourne,1.0
Y24H6120238,Y24H6120238P03,Weekday,vehicle passenger,15,3.60868,15.0,985.116862357,melb - middle,greater melbourne,0.0
Y24H6120238,Y24H6120238P04,Weekday,vehicle passenger,15,3.60868,15.0,983.594259885,melb - middle,greater melbourne,0.0
Y24H6120241,Y24H6120241P03,Weekend,vehicle passenger,9,4.12509,9.0,874.444964422,melb - middle,greater melbourne,0.0
Y24H6120241,Y24H6120241P04,Weekend,vehicle passenger,9,4.12509,9.0,952.367771531,melb - middle,greater melbourne,0.0
Y24H6120317,Y24H6120317P03,Weekday,walking,10,1.28052,10.0,349.13529447,melb - inner,greater melbourne,0.0
Y24H6120331,Y24H6120331P02,Weekday,walking,30,3.0449,30.0,652.324663293,melb - inner,greater melbourne,0.0
Y24H6120416,Y24H6120416P05,Weekday,vehicle passenger,5,1.48417,5.0,1268.794786786,melb - outer,greater melbourne,0.0
Y24H6120424,Y24H6120424P03,Weekday,public bus,17,1.72234,19.0,1453.073940545,melb - outer,greater melbourne,2.0
Y24H6120424,Y24H6120424P04,Weekday,public bus,17,1.72234,19.0,871.405794441,melb - outer,greater melbourne,2.0
Y24H6120424,Y24H6120424P05,Weekday,public bus,17,1.72234,19.0,898.136424608,melb - outer,greater melbourne,2.0
Y24H6126116,Y24H6126116P03,Weekday,public bus,50,29.31036,60.0,262.197495912,other,shepparton sa4,10.0
Y24H6126116,Y24H6126116P05,Weekday,public bus,50,29.31036,60.0,905.909030473,other,shepparton sa4,10.0
Y24H6126240,Y24H6126240P03,Weekday,bicycle,15,0.6424,15.0,339.343104853,other,shepparton sa4,0.0
Y24H6126240,Y24H6126240P04,Weekday,bicycle,15,0.6424,15.0,339.343104853,other,shepparton sa4,0.0
Y24H6130102,Y24H6130102P03,Weekday,walking,5,0.21011,5.0,1838.510988301,melb - middle,greater melbourne,0.0
Y24H6130102,Y24H6130102P04,Weekday,walking,5,0.21022,5.0,1838.510988301,melb - middle,greater melbourne,0.0
Y24H6130108,Y24H6130108P02,Weekday,vehicle passenger,11,4.50083,11.0,1842.561137288,melb - middle,greater melbourne,0.0
Y24H6130119,Y24H6130119P03,Weekday,vehicle passenger,9,4.50412,9.0,7123.066030163,melb - middle,greater melbourne,0.0
Y24H6130119,Y24H6130119P04,Weekday,vehicle passenger,8,5.64016,8.0,4620.577664668,melb - middle,greater melbourne,0.0
Y24H6130119,Y24H6130119P05,Weekday,vehicle passenger,9,4.50412,9.0,4113.128717058,melb - middle,greater melbourne,0.0
Y24H6130208,Y24H6130208P03,Weekday,vehicle passenger,20,9.41969,20.0,502.187636021,melb - outer,greater melbourne,0.0
Y24H6130209,Y24H6130209P04,Weekday,vehicle passenger,25,8.11043,25.0,1239.488763816,melb - outer,greater melbourne,0.0
Y24H6130209,Y24H6130209P05,Weekday,vehicle passenger,25,8.11043,25.0,1237.573002623,melb - outer,greater melbourne,0.0
Y24H6130213,Y24H6130213P03,Weekend,vehicle passenger,5,1.92853,5.0,534.650350256,melb - outer,greater melbourne,0.0
Y24H6130229,Y24H6130229P04,Weekday,vehicle passenger,30,10.11537,30.0,276.409596597,melb - outer,greater melbourne,0.0
Y24H6130231,Y24H6130231P05,Weekday,walking,15,1.33938,15.0,414.229460192,melb - outer,greater melbourne,0.0
Y24H6130236,Y24H6130236P04,Weekday,vehicle passenger,27,11.39807,28.0,296.893256802,melb - outer,greater melbourne,1.0
Y24H6130238,Y24H6130238P03,Weekday,vehicle passenger,24,11.00799,24.0,365.966787199,melb - outer,greater melbourne,0.0
Y24H6130429,Y24H6130429P03,Weekday,train,26,13.45647,26.0,1153.799280965,melb - outer,greater melbourne,0.0
Y24H6130429,Y24H6130429P04,Weekday,train,26,13.45675,26.0,1153.799280965,melb - outer,greater melbourne,0.0
Y24H6130429,Y24H6130429P05,Weekday,train,26,13.45661,26.0,1094.985870266,melb - outer,greater melbourne,0.0
Y24H6130438,Y24H6130438P03,Weekday,vehicle passenger,5,1.69654,5.0,1150.788418213,melb - outer,greater melbourne,0.0
Y24H6130438,Y24H6130438P04,Weekday,vehicle passenger,5,1.69654,5.0,1114.073824659,melb - outer,greater melbourne,0.0
Y24H6130438,Y24H6130438P05,Weekday,vehicle passenger,5,1.69654,5.0,1127.350350114,melb - outer,greater melbourne,0.0
Y24H6136210,Y24H6136210P03,Weekday,walking,15,0.64095,15.0,997.682450183,other,shepparton sa4,0.0
Y24H6136210,Y24H6136210P04,Weekday,walking,15,0.64095,15.0,502.269124489,other,shepparton sa4,0.0
Y24H6136210,Y24H6136210P05,Weekday,walking,15,0.64095,15.0,974.601297877,other,shepparton sa4,0.0
Y24H6136226,Y24H6136226P03,Weekday,vehicle passenger,9,5.66066,9.0,147.35310693,other,shepparton sa4,0.0
Y24H6136226,Y24H6136226P04,Weekday,vehicle passenger,9,5.66066,9.0,187.700744274,other,shepparton sa4,0.0
