dayType_journey,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS_journey,homeregion_ASGS_journey,wasted_time,num_stops,stop_category,group_travel_distance,journey_label,agegroup,sex,carlicence,mbikelicence,anywork,studying,mainact,persinc,anywfh,persinc_category,hhsize,dwelltype,owndwell,totalbikes,totalvehs,hhinc_group,hhinc_category
Weekday,vehicle driver,3,1.94153,3.0,610.56982043,melb - outer,greater melbourne,0.0,0,0 stop,0-10,1,70->74,Male,Full Licence,0,1,No Study,Part-time Work,500,No,low,2,Separate House,Fully Owned,0,2,500,low
Weekday,vehicle driver,35,20.61367,35.0,453.38197222,melb - middle,greater melbourne,0.0,0,0 stop,20-40,1,65->69,Female,Full Licence,0,1,No Study,Full-time Work,2000,No,high,2,Separate House,Fully Owned,Missing/Refused,2,3000,medium
Weekday,vehicle driver,30,18.65665,30.0,943.817870751,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,60->64,Female,Full Licence,0,1,No Study,Full-time Work,800,Missing/Refused,medium,2,Separate House,Fully Owned,Missing/Refused,2,3000,medium
Weekday,vehicle driver,26,17.35503,26.0,482.756360268,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,55->59,Female,Full Licence,0,1,No Study,Full-time Work,1750,No,high,2,"Unit, Flat or Apartment",Fully Owned,0,2,3000,medium
Weekday,vehicle driver,7,5.34105,7.0,842.910830617,melb - middle,greater melbourne,0.0,0,0 stop,0-10,1,20->24,Male,Full Licence,0,1,No Study,Full-time Work,1000,No,medium,2,"Unit, Flat or Apartment",Fully Owned,0,2,3000,medium
Weekday,train,42,18.75461,50.0,648.35110364,melb - middle,greater melbourne,8.0,2,2 stops,10-20,1,50->54,Female,Full Licence,0,1,No Study,Full-time Work,2000,No,high,1,"Unit, Flat or Apartment",Being Purchased,0,1,2500,medium
Weekday,vehicle driver,60,18.61169,60.0,2638.999146045,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,55->59,Male,Full Licence,0,1,No Study,Part-time Work,800,No,medium,4,Separate House,Fully Owned,2,3,800,low
Weekday,vehicle driver,25,17.11809,25.0,795.260765041,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,20->24,Male,Green Probationary Licence,0,1,Full-time TAFE/Uni,Full-time TAFE/Uni,150,No,low,4,"Unit, Flat or Apartment",Being Rented,0,1,300,low
Weekend,vehicle driver,20,9.22855,20.0,1376.586534104,melb - middle,greater melbourne,0.0,0,0 stop,0-10,1,45->49,Female,Full Licence,0,1,No Study,Casual Work,1,Yes,low,4,Separate House,Being Purchased,1,2,5000,high
Weekday,vehicle driver,35,13.8802,35.0,1517.558354572,melb - middle,greater melbourne,0.0,0,0 stop,10-20,1,55->59,Male,Full Licence,1,1,No Study,Full-time Work,1000,No,medium,5,Separate House,Fully Owned,5,4,4500,high
