,precision,recall,f1-score,support
Active,0.5280898876404494,0.17343173431734318,0.2611111111111111,813.0
Other,0.5,0.09090909090909091,0.15384615384615385,11.0
Private,0.8150579995622674,0.9718162839248434,0.8865611236757529,3832.0
Public,0.5925925925925926,0.13559322033898305,0.2206896551724138,236.0
accuracy,0.7968111201962388,0.7968111201962388,0.7968111201962388,0.7968111201962388
macro avg,0.6089351199488273,0.34293758237256516,0.38055201095135793,4892.0
weighted avg,0.7559262438320004,0.7968111201962388,0.7488472251782126,4892.0
