,precision,recall,f1-score,support
Active,0.18717948717948718,0.0897908979089791,0.12136325852036575,813.0
Other,0.007725321888412017,0.8181818181818182,0.015306122448979591,11.0
Private,0.8547776726584674,0.4715553235908142,0.6078035654221325,3832.0
Public,0.07604251839738348,0.3940677966101695,0.12748457847840988,236.0
accuracy,0.4051512673753066,0.4051512673753066,0.4051512673753066,0.4051512673753066
macro avg,0.2814312500309375,0.44339895907294524,0.21798938121747194,4892.0
weighted avg,0.704357313488701,0.4051512673753066,0.5024583646243894,4892.0
