,precision,recall,f1-score,support
Active,0.3111111111111111,0.18942189421894218,0.23547400611620795,813.0
Other,0.013266998341625208,0.7272727272727273,0.026058631921824105,11.0
Private,0.8530868273357544,0.6743215031315241,0.7532429674974493,3832.0
Public,0.15555555555555556,0.5042372881355932,0.23776223776223776,236.0
accuracy,0.5856500408830744,0.5856500408830744,0.5856500408830744,0.5856500408830744
macro avg,0.3332551230860116,0.5238133531896967,0.3131344608244298,4892.0
weighted avg,0.72747733110728,0.5856500408830744,0.6406921405326516,4892.0
