,precision,recall,f1-score,support
Active,0.5903614457831325,0.12054120541205413,0.20020429009193055,813.0
Other,0.0,0.0,0.0,11.0
Private,0.8046491789294092,0.9846033402922756,0.8855768102335406,3832.0
Public,0.5833333333333334,0.08898305084745763,0.15441176470588236,236.0
accuracy,0.7955846279640229,0.7955846279640229,0.7955846279640229,0.7955846279640229
macro avg,0.4945859895114688,0.2985318991379468,0.3100482162578384,4892.0
weighted avg,0.7565507309374181,0.7955846279640229,0.7344107933626851,4892.0
