tripid,hhid,persid,tripno,trippoststratweight,transport_mode,cumdist,linkmode,homesubregion_ASGS,homeregion_ASGS
Y24H5740102P01T01,Y24H5740102,Y24H5740102P01,1,1249.316209438,Private,1.8012,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P01T02,Y24H5740102,Y24H5740102P01,2,1249.316209438,Private,1.8012,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P01T03,Y24H5740102,Y24H5740102P01,3,1249.316209438,Private,22.89185,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740102P01T04,Y24H5740102,Y24H5740102P01,4,1249.316209438,Private,42.72692,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740102P01T05,Y24H5740102,Y24H5740102P01,5,1249.316209438,Private,48.55273,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740102P02T01,Y24H5740102,Y24H5740102P02,1,652.818030841,Private,12.89117,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P02T02,Y24H5740102,Y24H5740102P02,2,652.818030841,Private,0.47899,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P02T03,Y24H5740102,Y24H5740102P02,3,652.818030841,Private,0.47899,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740102P02T04,Y24H5740102,Y24H5740102P02,4,652.818030841,Private,12.89117,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740103P01T01,Y24H5740103,Y24H5740103P01,1,531.375373735,Private,3.7239,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740103P01T02,Y24H5740103,Y24H5740103P01,2,531.375373735,Private,3.7239,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740104P01T01,Y24H5740104,Y24H5740104P01,1,482.667095678,Active,2.72681,Walking,MELB - Outer,Greater Melbourne
Y24H5740104P01T02,Y24H5740104,Y24H5740104P01,2,482.667095678,Active,2.72681,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P01T01,Y24H5740109,Y24H5740109P01,1,728.519231022,Active,0.93423,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P01T02,Y24H5740109,Y24H5740109P01,2,728.519231022,Active,0.93423,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P01T03,Y24H5740109,Y24H5740109P01,3,728.519231022,Active,2.56442,Bicycle,MELB - Outer,Greater Melbourne
Y24H5740109P01T04,Y24H5740109,Y24H5740109P01,4,728.519231022,Active,4.09291,Bicycle,MELB - Outer,Greater Melbourne
Y24H5740109P01T05,Y24H5740109,Y24H5740109P01,5,728.519231022,Active,6.65475,Bicycle,MELB - Outer,Greater Melbourne
Y24H5740109P02T01,Y24H5740109,Y24H5740109P02,1,760.235357962,Private,1.33689,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740109P02T02,Y24H5740109,Y24H5740109P02,2,760.235357962,Private,1.33689,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740109P03T01,Y24H5740109,Y24H5740109P03,1,948.719791893,Public,4.78611,School Bus,MELB - Outer,Greater Melbourne
Y24H5740109P03T02,Y24H5740109,Y24H5740109P03,2,948.719791893,Public,4.78611,School Bus,MELB - Outer,Greater Melbourne
Y24H5740109P04T01,Y24H5740109,Y24H5740109P04,1,1976.756688822,Public,4.78611,School Bus,MELB - Outer,Greater Melbourne
Y24H5740109P04T02,Y24H5740109,Y24H5740109P04,2,1976.756688822,Public,4.78611,School Bus,MELB - Outer,Greater Melbourne
Y24H5740109P05T01,Y24H5740109,Y24H5740109P05,1,814.365992555,Active,0.93423,Walking,MELB - Outer,Greater Melbourne
Y24H5740109P05T02,Y24H5740109,Y24H5740109P05,2,814.365992555,Active,0.93423,Walking,MELB - Outer,Greater Melbourne
Y24H5740110P01T01,Y24H5740110,Y24H5740110P01,1,632.860777211,Private,9.42059,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T02,Y24H5740110,Y24H5740110P01,2,632.860777211,Private,0.51843,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T03,Y24H5740110,Y24H5740110P01,3,632.860777211,Private,11.18423,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T04,Y24H5740110,Y24H5740110P01,4,632.860777211,Private,2.99679,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T05,Y24H5740110,Y24H5740110P01,5,632.860777211,Private,2.8524,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T06,Y24H5740110,Y24H5740110P01,6,632.860777211,Private,3.34537,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T07,Y24H5740110,Y24H5740110P01,7,632.860777211,Private,6.05048,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T08,Y24H5740110,Y24H5740110P01,8,632.860777211,Private,9.42059,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T09,Y24H5740110,Y24H5740110P01,9,632.860777211,Private,9.42059,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T10,Y24H5740110,Y24H5740110P01,10,632.860777211,Private,14.41431,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T11,Y24H5740110,Y24H5740110P01,11,632.860777211,Private,14.41431,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T12,Y24H5740110,Y24H5740110P01,12,632.860777211,Private,7.57261,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P01T13,Y24H5740110,Y24H5740110P01,13,632.860777211,Private,7.57261,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740110P03T01,Y24H5740110,Y24H5740110P03,1,603.756453587,Private,9.42059,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740110P03T02,Y24H5740110,Y24H5740110P03,2,603.756453587,Private,9.42059,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740110P03T03,Y24H5740110,Y24H5740110P03,3,603.756453587,Private,14.41431,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740110P03T04,Y24H5740110,Y24H5740110P03,4,603.756453587,Private,14.41431,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740111P01T01,Y24H5740111,Y24H5740111P01,1,348.746406172,Private,20.87897,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740111P01T02,Y24H5740111,Y24H5740111P01,2,348.746406172,Private,20.87897,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740111P02T01,Y24H5740111,Y24H5740111P02,1,696.78161167,Private,87.50492,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740111P02T02,Y24H5740111,Y24H5740111P02,2,696.78161167,Private,101.58203,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740111P02T03,Y24H5740111,Y24H5740111P02,3,696.78161167,Private,3.60515,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740111P02T04,Y24H5740111,Y24H5740111P02,4,696.78161167,Private,2.0542,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740111P02T05,Y24H5740111,Y24H5740111P02,5,696.78161167,Private,192.53171,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740117P01T01,Y24H5740117,Y24H5740117P01,1,504.590252286,Private,1.76765,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740117P01T02,Y24H5740117,Y24H5740117P01,2,504.590252286,Private,1.76765,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740117P02T01,Y24H5740117,Y24H5740117P02,1,322.915406765,Private,1.90357,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740117P02T02,Y24H5740117,Y24H5740117P02,2,322.915406765,Private,1.90357,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740117P02T03,Y24H5740117,Y24H5740117P02,3,322.915406765,Private,1.01838,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740117P02T04,Y24H5740117,Y24H5740117P02,4,322.915406765,Private,1.01838,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740119P01T01,Y24H5740119,Y24H5740119P01,1,346.716334742,Private,1.93417,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740119P01T02,Y24H5740119,Y24H5740119P01,2,346.716334742,Private,1.93417,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740119P01T03,Y24H5740119,Y24H5740119P01,3,346.716334742,Private,2.75583,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740119P01T04,Y24H5740119,Y24H5740119P01,4,346.716334742,Private,2.75583,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740119P01T05,Y24H5740119,Y24H5740119P01,5,346.716334742,Public,51.61251,Train,MELB - Outer,Greater Melbourne
Y24H5740119P01T06,Y24H5740119,Y24H5740119P01,6,346.716334742,Public,51.61251,Train,MELB - Outer,Greater Melbourne
Y24H5740120P01T01,Y24H5740120,Y24H5740120P01,1,427.276622314,Private,2.25009,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740120P01T02,Y24H5740120,Y24H5740120P01,2,427.276622314,Private,13.14107,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740120P01T03,Y24H5740120,Y24H5740120P01,3,427.276622314,Private,14.41528,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740120P01T04,Y24H5740120,Y24H5740120P01,4,427.276622314,Private,2.5879,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740123P01T01,Y24H5740123,Y24H5740123P01,1,433.329068446,Private,7.46789,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740123P01T02,Y24H5740123,Y24H5740123P01,2,433.329068446,Private,4.96878,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740123P01T03,Y24H5740123,Y24H5740123P01,3,433.329068446,Private,8.49841,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740123P01T04,Y24H5740123,Y24H5740123P01,4,433.329068446,Private,4.10269,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P01T01,Y24H5740127,Y24H5740127P01,1,1312.668216153,Private,41.02649,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P01T02,Y24H5740127,Y24H5740127P01,2,1312.668216153,Private,41.02649,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P01T03,Y24H5740127,Y24H5740127P01,3,1312.668216153,Private,26.25296,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740127P01T04,Y24H5740127,Y24H5740127P01,4,1312.668216153,Private,36.74211,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740127P01T05,Y24H5740127,Y24H5740127P01,5,1312.668216153,Private,14.84408,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740127P02T01,Y24H5740127,Y24H5740127P02,1,1623.453460323,Private,2.62767,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P02T02,Y24H5740127,Y24H5740127P02,2,1623.453460323,Private,2.62767,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P02T03,Y24H5740127,Y24H5740127P02,3,1623.453460323,Private,26.25362,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P02T04,Y24H5740127,Y24H5740127P02,4,1623.453460323,Private,36.74269,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740127P02T05,Y24H5740127,Y24H5740127P02,5,1623.453460323,Private,14.84414,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740128P01T01,Y24H5740128,Y24H5740128P01,1,981.925016667,Active,0.38011,Walking,MELB - Outer,Greater Melbourne
Y24H5740128P01T02,Y24H5740128,Y24H5740128P01,2,981.925016667,Active,0.38011,Walking,MELB - Outer,Greater Melbourne
Y24H5740128P01T03,Y24H5740128,Y24H5740128P01,3,981.925016667,Private,75.91394,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740128P01T04,Y24H5740128,Y24H5740128P01,4,981.925016667,Private,4.65656,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740128P01T05,Y24H5740128,Y24H5740128P01,5,981.925016667,Private,4.65656,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740128P02T01,Y24H5740128,Y24H5740128P02,1,1153.554573946,Active,0.38011,Walking,MELB - Outer,Greater Melbourne
Y24H5740128P02T02,Y24H5740128,Y24H5740128P02,2,1153.554573946,Active,0.38011,Walking,MELB - Outer,Greater Melbourne
Y24H5740128P02T03,Y24H5740128,Y24H5740128P02,3,1153.554573946,Private,75.91394,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P02T04,Y24H5740128,Y24H5740128P02,4,1153.554573946,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P02T05,Y24H5740128,Y24H5740128P02,5,1153.554573946,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P03T01,Y24H5740128,Y24H5740128P03,1,1890.307193572,Private,6.11384,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740128P03T02,Y24H5740128,Y24H5740128P03,2,1890.307193572,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P03T03,Y24H5740128,Y24H5740128P03,3,1890.307193572,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P03T04,Y24H5740128,Y24H5740128P03,4,1890.307193572,Private,34.42431,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P03T05,Y24H5740128,Y24H5740128P03,5,1890.307193572,Private,32.06991,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P04T01,Y24H5740128,Y24H5740128P04,1,2548.210768308,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P04T02,Y24H5740128,Y24H5740128P04,2,2548.210768308,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P05T01,Y24H5740128,Y24H5740128P05,1,2055.933027693,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740128P05T02,Y24H5740128,Y24H5740128P05,2,2055.933027693,Private,4.65656,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740129P03T01,Y24H5740129,Y24H5740129P03,1,734.497298419,Private,42.83731,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T02,Y24H5740129,Y24H5740129P03,2,734.497298419,Private,15.97077,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T03,Y24H5740129,Y24H5740129P03,3,734.497298419,Private,7.65133,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T04,Y24H5740129,Y24H5740129P03,4,734.497298419,Private,7.81032,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T05,Y24H5740129,Y24H5740129P03,5,734.497298419,Private,7.12071,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T06,Y24H5740129,Y24H5740129P03,6,734.497298419,Private,1.30458,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T07,Y24H5740129,Y24H5740129P03,7,734.497298419,Private,11.22358,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T08,Y24H5740129,Y24H5740129P03,8,734.497298419,Private,10.78356,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T09,Y24H5740129,Y24H5740129P03,9,734.497298419,Private,20.3206,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T10,Y24H5740129,Y24H5740129P03,10,734.497298419,Private,8.61913,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T11,Y24H5740129,Y24H5740129P03,11,734.497298419,Private,4.45987,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740129P03T12,Y24H5740129,Y24H5740129P03,12,734.497298419,Private,4.56295,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P01T01,Y24H5740131,Y24H5740131P01,1,833.181207918,Private,80.73453,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P01T02,Y24H5740131,Y24H5740131P01,2,833.181207918,Private,1.48545,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P02T01,Y24H5740131,Y24H5740131P02,1,946.335436235,Private,1.48545,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P02T02,Y24H5740131,Y24H5740131P02,2,946.335436235,Private,20.43636,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P02T03,Y24H5740131,Y24H5740131P02,3,946.335436235,Private,20.17096,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P02T04,Y24H5740131,Y24H5740131P02,4,946.335436235,Private,0.67853,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P02T05,Y24H5740131,Y24H5740131P02,5,946.335436235,Private,54.51804,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P02T06,Y24H5740131,Y24H5740131P02,6,946.335436235,Private,54.51804,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740131P03T01,Y24H5740131,Y24H5740131P03,1,746.800491716,Public,24.92903,School Bus,MELB - Outer,Greater Melbourne
Y24H5740131P03T02,Y24H5740131,Y24H5740131P03,2,746.800491716,Public,24.92904,School Bus,MELB - Outer,Greater Melbourne
Y24H5740131P04T01,Y24H5740131,Y24H5740131P04,1,1315.567514218,Private,1.48545,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740131P04T02,Y24H5740131,Y24H5740131P04,2,1315.567514218,Active,1.48545,Walking,MELB - Outer,Greater Melbourne
Y24H5740131P04T03,Y24H5740131,Y24H5740131P04,3,1315.567514218,Private,54.51804,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740131P04T04,Y24H5740131,Y24H5740131P04,4,1315.567514218,Private,54.51804,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740135P01T01,Y24H5740135,Y24H5740135P01,1,1716.889554007,Private,3.92445,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740135P01T02,Y24H5740135,Y24H5740135P01,2,1716.889554007,Private,3.92445,Vehicle Driver,MELB - Outer,Greater Melbourne
Y24H5740135P01T03,Y24H5740135,Y24H5740135P01,3,1716.889554007,Active,0.45935,Walking,MELB - Outer,Greater Melbourne
Y24H5740135P01T04,Y24H5740135,Y24H5740135P01,4,1716.889554007,Active,0.45935,Walking,MELB - Outer,Greater Melbourne
Y24H5740135P02T01,Y24H5740135,Y24H5740135P02,1,1264.225562462,Private,3.92445,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740135P02T02,Y24H5740135,Y24H5740135P02,2,1264.225562462,Private,3.92445,Vehicle Passenger,MELB - Outer,Greater Melbourne
Y24H5740135P03T01,Y24H5740135,Y24H5740135P03,1,1594.458749404,Active,0.45935,Walking,MELB - Outer,Greater Melbourne
Y24H5740135P03T02,Y24H5740135,Y24H5740135P03,2,1594.458749404,Active,0.45935,Walking,MELB - Outer,Greater Melbourne
Y24H5740135P04T01,Y24H5740135,Y24H5740135P04,1,1495.949232812,Active,0.45935,Walking,MELB - Outer,Greater Melbourne
Y24H5740135P04T02,Y24H5740135,Y24H5740135P04,2,1495.949232812,Active,0.45935,Walking,MELB - Outer,Greater Melbourne
Y24H5740305P01T01,Y24H5740305,Y24H5740305P01,1,1078.703085594,Active,6.17478,Walking,MELB - Inner,Greater Melbourne
Y24H5740305P01T02,Y24H5740305,Y24H5740305P01,2,1078.703085594,Active,6.17478,Walking,MELB - Inner,Greater Melbourne
Y24H5740305P01T03,Y24H5740305,Y24H5740305P01,3,1078.703085594,Active,0.50783,Walking,MELB - Inner,Greater Melbourne
Y24H5740305P01T04,Y24H5740305,Y24H5740305P01,4,1078.703085594,Active,0.50783,Walking,MELB - Inner,Greater Melbourne
Y24H5740305P01T05,Y24H5740305,Y24H5740305P01,5,1078.703085594,Active,0.45924,Walking,MELB - Inner,Greater Melbourne
Y24H5740305P01T06,Y24H5740305,Y24H5740305P01,6,1078.703085594,Active,0.45924,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P01T01,Y24H5740309,Y24H5740309P01,1,650.229827515,Active,0.61828,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P01T02,Y24H5740309,Y24H5740309P01,2,650.229827515,Active,0.09066,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P01T03,Y24H5740309,Y24H5740309P01,3,650.229827515,Active,0.53744,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P01T04,Y24H5740309,Y24H5740309P01,4,650.229827515,Private,9.21579,Vehicle Passenger,MELB - Inner,Greater Melbourne
Y24H5740309P01T05,Y24H5740309,Y24H5740309P01,5,650.229827515,Private,9.21579,Vehicle Passenger,MELB - Inner,Greater Melbourne
Y24H5740309P02T01,Y24H5740309,Y24H5740309P02,1,1182.710360267,Private,1.70869,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740309P02T02,Y24H5740309,Y24H5740309P02,2,1182.710360267,Private,1.27292,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740309P02T03,Y24H5740309,Y24H5740309P02,3,1182.710360267,Private,0.55332,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740309P02T04,Y24H5740309,Y24H5740309P02,4,1182.710360267,Active,0.61828,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P02T05,Y24H5740309,Y24H5740309P02,5,1182.710360267,Active,0.09113,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P02T06,Y24H5740309,Y24H5740309P02,6,1182.710360267,Active,0.53707,Walking,MELB - Inner,Greater Melbourne
Y24H5740309P02T07,Y24H5740309,Y24H5740309P02,7,1182.710360267,Private,9.21579,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740309P02T08,Y24H5740309,Y24H5740309P02,8,1182.710360267,Private,9.21579,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740317P01T01,Y24H5740317,Y24H5740317P01,1,628.018063666,Private,4.4744,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740317P01T02,Y24H5740317,Y24H5740317P01,2,628.018063666,Active,0.05627,Walking,MELB - Inner,Greater Melbourne
Y24H5740317P01T03,Y24H5740317,Y24H5740317P01,3,628.018063666,Private,4.43276,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740317P01T04,Y24H5740317,Y24H5740317P01,4,628.018063666,Private,0.72871,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740317P01T05,Y24H5740317,Y24H5740317P01,5,628.018063666,Private,0.72871,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740317P02T01,Y24H5740317,Y24H5740317P02,1,692.633313734,Private,4.4744,Vehicle Passenger,MELB - Inner,Greater Melbourne
Y24H5740317P02T02,Y24H5740317,Y24H5740317P02,2,692.633313734,Active,0.16083,Walking,MELB - Inner,Greater Melbourne
Y24H5740317P02T03,Y24H5740317,Y24H5740317P02,3,692.633313734,Active,0.1046,Walking,MELB - Inner,Greater Melbourne
Y24H5740317P02T04,Y24H5740317,Y24H5740317P02,4,692.633313734,Private,4.43276,Vehicle Passenger,MELB - Inner,Greater Melbourne
Y24H5740317P02T05,Y24H5740317,Y24H5740317P02,5,692.633313734,Private,0.72871,Vehicle Passenger,MELB - Inner,Greater Melbourne
Y24H5740317P02T06,Y24H5740317,Y24H5740317P02,6,692.633313734,Private,0.72871,Vehicle Passenger,MELB - Inner,Greater Melbourne
Y24H5740318P01T01,Y24H5740318,Y24H5740318P01,1,831.088375256,Active,0.88951,Walking,MELB - Inner,Greater Melbourne
Y24H5740318P01T02,Y24H5740318,Y24H5740318P01,2,831.088375256,Public,1.22592,Tram,MELB - Inner,Greater Melbourne
Y24H5740326P01T01,Y24H5740326,Y24H5740326P01,1,1187.192547517,Private,0.67256,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740326P01T02,Y24H5740326,Y24H5740326P01,2,1187.192547517,Active,0.67265,Walking,MELB - Inner,Greater Melbourne
Y24H5740326P01T03,Y24H5740326,Y24H5740326P01,3,1187.192547517,Private,19.25591,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740326P01T04,Y24H5740326,Y24H5740326P01,4,1187.192547517,Private,19.25591,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740328P01T01,Y24H5740328,Y24H5740328P01,1,1582.182765534,Private,0.81019,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740328P01T02,Y24H5740328,Y24H5740328P01,2,1582.182765534,Private,0.81019,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P01T01,Y24H5740331,Y24H5740331P01,1,804.67558497,Private,1.03956,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P01T02,Y24H5740331,Y24H5740331P01,2,804.67558497,Private,1.03956,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P02T01,Y24H5740331,Y24H5740331P02,1,1117.181783646,Private,3.16902,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P02T02,Y24H5740331,Y24H5740331P02,2,1117.181783646,Private,4.07598,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P02T03,Y24H5740331,Y24H5740331P02,3,1117.181783646,Private,1.47606,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P02T04,Y24H5740331,Y24H5740331P02,4,1117.181783646,Private,2.03111,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740331P02T05,Y24H5740331,Y24H5740331P02,5,1117.181783646,Private,2.03111,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740337P01T01,Y24H5740337,Y24H5740337P01,1,1251.425191934,Private,13.90308,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740337P01T02,Y24H5740337,Y24H5740337P01,2,1251.425191934,Private,13.90308,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740337P02T01,Y24H5740337,Y24H5740337P02,1,646.550865959,Public,13.62768,Train,MELB - Inner,Greater Melbourne
Y24H5740337P02T02,Y24H5740337,Y24H5740337P02,2,646.550865959,Public,13.59164,Train,MELB - Inner,Greater Melbourne
Y24H5740340P01T01,Y24H5740340,Y24H5740340P01,1,641.679404901,Private,11.99826,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T02,Y24H5740340,Y24H5740340P01,2,641.679404901,Private,12.09246,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T03,Y24H5740340,Y24H5740340P01,3,641.679404901,Private,1.53752,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T04,Y24H5740340,Y24H5740340P01,4,641.679404901,Private,1.7794,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T05,Y24H5740340,Y24H5740340P01,5,641.679404901,Active,1.58871,Walking,MELB - Inner,Greater Melbourne
Y24H5740340P01T06,Y24H5740340,Y24H5740340P01,6,641.679404901,Active,1.58859,Walking,MELB - Inner,Greater Melbourne
Y24H5740340P01T07,Y24H5740340,Y24H5740340P01,7,641.679404901,Private,3.17895,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T08,Y24H5740340,Y24H5740340P01,8,641.679404901,Private,3.17895,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T09,Y24H5740340,Y24H5740340P01,9,641.679404901,Private,3.17895,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P01T10,Y24H5740340,Y24H5740340P01,10,641.679404901,Private,3.17895,Vehicle Driver,MELB - Inner,Greater Melbourne
Y24H5740340P02T01,Y24H5740340,Y24H5740340P02,1,678.48551527,Active,2.45053,Walking,MELB - Inner,Greater Melbourne
